Date,New_cases,Death
16-Mar,3,0
17-Mar,0,0
18-Mar,4,1
19-Mar,4,0
20-Mar,2,0
21-Mar,4,1
22-Mar,3,0
23-Mar,6,1
24-Mar,6,1
25-Mar,0,1
26-Mar,5,0
27-Mar,4,0
28-Mar,0,0
29-Mar,0,0
30-Mar,1,0
31-Mar,2,0
1-Apr,3,1
2-Apr,2,0
3-Apr,5,0
4-Apr,9,2
5-Apr,18,1
6-Apr,35,3
7-Apr,41,5
8-Apr,54,3
9-Apr,112,1
10-Apr,94,6
11-Apr,58,3
12-Apr,139,4
13-Apr,182,5
14-Apr,209,7
15-Apr,219,4
16-Apr,341,10
17-Apr,266,15
18-Apr,306,9
19-Apr,312,7
20-Apr,492,10
21-Apr,434,9
22-Apr,390,10
23-Apr,414,7
